shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
fresh tuna,,,,,,,,,,,,,,,,,,,
yams,,,,,,,,,,,,,,,,,,,
turkey,spaghetti,mineral water,soup,nonfat milk,pancakes,cooking oil,tea,escalope,cookies,,,,,,,,,,
turkey,grated cheese,herb & pepper,tomato sauce,spaghetti,black tea,salmon,eggs,rice,,,,,,,,,,,
shrimp,tomatoes,ground beef,milk,cooking oil,white wine,,,,,,,,,,,,,,
whole wheat pasta,,,,,,,,,,,,,,,,,,,
spaghetti,mineral water,chocolate,honey,green beans,french fries,body spray,pancakes,,,,,,,,,,,,
red wine,cake,french fries,cookies,protein bar,hand protein bar,tomato juice,green tea,,,,,,,,,,,,
turkey,herb & pepper,mineral water,gluten free bar,,,,,,,,,,,,,,,,
green tea,french fries,brownies,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,
turkey,burgers,frozen vegetables,tomatoes,parmesan cheese,spaghetti,mineral water,chocolate,milk,vegetables mix,whole wheat rice,mushroom cream sauce,,,,,,,,
frozen vegetables,spaghetti,mineral water,soup,nonfat milk,pancakes,extra dark chocolate,magazines,,,,,,,,,,,,
spaghetti,mineral water,meatballs,cooking oil,,,,,,,,,,,,,,,,
cookies,green tea,,,,,,,,,,,,,,,,,,
chicken,muffins,cake,yogurt cake,,,,,,,,,,,,,,,,
champagne,,,,,,,,,,,,,,,,,,,
grated cheese,whole wheat rice,bug spray,pasta,green tea,,,,,,,,,,,,,,,
frozen vegetables,ground beef,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,
ground beef,mineral water,oil,barbecue sauce,frozen smoothie,brownies,white wine,green tea,,,,,,,,,,,,
shrimp,tomatoes,,,,,,,,,,,,,,,,,,
tomatoes,spaghetti,frozen smoothie,,,,,,,,,,,,,,,,,
mineral water,milk,olive oil,black tea,light mayo,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,
eggs,,,,,,,,,,,,,,,,,,,
frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,
oil,,,,,,,,,,,,,,,,,,,
milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,
frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
