geographic_group,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag
Africa,"Congo, Dem. Rep.",6.17,97.4,0.0367,22.0,61.3,0.08800000000000001
,Cambodia,2.59,32.0,0.545,21.0,69.3,
,Cote d'Ivoire,4.97,90.0,0.405,32.0,61.0,
,Mauritius,1.44,14.3,3.35,53.0,74.5,
,Sri Lanka,2.06,8.75,0.9490000000000001,37.0,76.9,
Americas,Nicaragua,2.23,18.8,0.8440000000000001,27.0,78.1,
Europe,Estonia,-10.0,3.18,12.1,70.0,77.7,
,Mozambique,5.31,81.8,0.233,31.0,56.2,
,Malta,1.44,6.99,3.96,60.0,81.2,
Africa,Nigeria,5.59,125.0,0.627,26.0,63.4,0.113
Americas,Ecuador,2.51,15.1,2.63,32.0,76.6,0.021
Europe,Spain,1.35,3.28,5.81,58.0,82.6,0.071
,Comoros,4.45,74.9,0.217,26.0,68.0,
,Turkmenistan,2.93,50.7,12.6,18.0,69.8,
Western Pacific,Japan,1.44,3.02,9.58,75.0,84.1,0.099
,Albania,-10.0,9.6,1.6,36.0,78.0,
Africa,Togo,4.52,76.8,0.369,32.0,62.8,
Western Pacific,Vietnam,1.96,21.8,1.95,31.0,74.3,0.046
,Zambia,5.04,64.6,0.271,38.0,62.0,
Europe,Austria,1.49,3.71,7.7,76.0,81.5,0.11800000000000001
Eastern Mediterranean,Saudi Arabia,2.58,8.54,19.6,52.0,76.2,0.024
Europe,Poland,1.31,4.86,8.22,63.0,77.5,0.10300000000000001
Europe,Norway,-10.0,2.72,8.72,88.0,82.3,
Europe,Czech Republic,1.52,3.15,9.89,56.0,78.8,0.073
Africa,Libya,2.31,13.3,8.79,16.0,73.1,
,Georgia,2.0,10.5,2.38,52.0,73.0,
Eastern Mediterranean,Lebanon,-10.0,8.3,3.69,28.0,77.8,0.08
,Costa Rica,-10.0,9.05,1.51,55.0,79.9,
Americas,Colombia,-10.0,15.7,1.96,37.0,80.0,0.059000000000000004
Europe,France,1.98,4.1,5.3,70.0,82.5,0.17300000000000001
,Israel,3.0,3.92,8.15,61.0,82.6,0.0
Africa,Gabon,3.85,51.0,2.69,34.0,67.0,
South-Eastern Asia,India,2.35,43.6,1.76,38.0,68.4,0.078
Europe,Bosnia and Herzegovina,1.35,6.14,5.39,38.0,76.4,0.26
Europe,Portugal,1.25,3.66,5.04,64.0,81.5,0.044000000000000004
Europe,Ireland,1.99,3.83,8.27,75.0,81.6,0.062
Americas,United States,1.93,6.8,16.9,76.0,78.8,0.096
Africa,Kenya,3.92,46.3,0.341,25.0,64.7,
,Uzbekistan,2.31,25.9,3.31,19.0,69.9,
,Montenegro,-10.0,3.46,3.57,44.0,76.4,
Americas,Canada,1.59,5.28,16.0,83.0,81.7,0.105
Europe,Switzerland,1.54,4.32,4.67,86.0,83.5,
Africa,Senegal,-10.0,50.1,0.695,44.0,67.5,
,Burundi,5.78,67.0,0.0386,21.0,60.8,
Eastern Mediterranean,Morocco,2.53,25.5,1.76,36.0,73.5,0.052000000000000005
Eastern Mediterranean,Tunisia,2.22,17.2,2.62,38.0,77.9,0.043
Western Pacific,Philippines,2.96,30.1,1.12,35.0,69.2,0.022000000000000002
Africa,"Congo, Rep.",-10.0,54.9,0.649,23.0,62.2,
,Belarus,-10.0,4.03,6.29,32.0,73.8,
Europe,Slovenia,-10.0,2.48,6.58,60.0,80.8,0.16399999999999998
,Eswatini,3.14,62.9,0.89,,55.8,
Americas,Paraguay,2.51,22.2,0.905,27.0,75.8,
Africa,Algeria,-10.0,24.9,3.8,36.0,77.1,0.078
Africa,South Africa,2.49,37.7,8.35,44.0,63.4,0.099
Europe,North Macedonia,1.52,12.3,3.41,42.0,76.5,0.114
,Benin,5.05,99.9,0.555,37.0,63.5,
,Jordan,3.45,17.7,2.75,53.0,79.1,
Europe,Greece,1.31,4.58,7.04,46.0,80.8,0.16899999999999998
,Malawi,-10.0,59.2,0.0669,31.0,61.7,
,Panama,2.54,16.9,2.74,39.0,78.9,0.051
Europe,Romania,1.51,9.21,3.91,46.0,75.1,0.156
Western Pacific,Mongolia,-10.0,18.6,7.76,39.0,68.6,0.066
,Tajikistan,3.4,37.9,0.574,26.0,70.2,
,Lao,-10.0,53.6,1.31,25.0,66.6,
,United Arab Emirates,-10.0,7.83,20.7,70.0,73.1,
,South Korea,1.28,3.5,11.7,54.0,82.3,0.064
Europe,Serbia,-10.0,6.28,4.93,40.0,75.1,0.141
South-Eastern Asia,Malaysia,2.06,8.0,7.71,50.0,74.6,
,Kazakhstan,-10.0,11.9,15.0,28.0,71.7,
Europe,Germany,1.45,3.86,9.74,81.0,80.7,0.08
,Chad,6.05,130.0,0.0694,22.0,59.2,
South-Eastern Asia,Thailand,1.5,10.5,4.1,38.0,78.2,0.065
Europe,Ukraine,1.53,9.5,4.99,27.0,69.2,0.154
Europe,Azerbaijan,2.09,26.3,3.86,29.0,70.5,0.133
